haralick01,haralick02,haralick03,haralick04,haralick05,haralick06,haralick07,haralick08,haralick09,haralick10,haralick11,haralick12,haralick13,area,perimetro,'desvio padrao',mediana,curtose,variância,lacunaridade,'dimensao fractal','sucolaridade de cima para baixo','sucolaridade da direita para a esquerda','sucolaridade de baixo para cima','sucolaridade da esquerda para a direita',lbp1,lbp2,lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9,lbp10,lbp11,lbp12,lbp13,lbp14,lbp15,lbp16,lbp17,lbp18,lbp19,lbp20,lbp21,lbp22,lbp23,lbp24,lbp25,lbp26,lbp27,lbp28,lbp29,lbp30,lbp31,lbp32,lbp33,lbp34,lbp35,lbp36,lbp37,lbp38,lbp39,lbp40,lbp41,lbp42,lbp43,lbp44,lbp45,lbp46,lbp47,lbp48,lbp49,lbp50,lbp51,lbp52,lbp53,lbp54,lbp55,lbp56,lbp57,lbp58,lbp59,classe
0.000598,147.449001,0.922348,951.459003,0.166882,303.773111,3658.387012,7.756829,11.263521,0.000271,4.473246,-0.349266,0.99548,3969,252,30.991661,156,1.164702,0.204244,0.106493,1.59651,0.016184,0.017017,0.017308,0.016492,0.105026,0.039304,0.007088,0.01482,0.025773,0.001289,0.027706,0.063144,0.018041,0.007732,0.003222,0.001933,0.028351,0.003222,0.049613,0.213273,0.043814,0.012242,0.001933,0.000644,0.002577,0,0.001933,0.002577,0.031572,0.002577,0.001933,0.000644,0.0625,0.003866,0.061856,0.076031,0.010309,0.001289,0.001289,0.001933,0.001289,0,0.000644,0.000644,0.000644,0,0,0,0,0,0.001289,0.000644,0.027706,0.005799,0.000644,0.001933,0.006443,0,0,0.001289,0.018686,0,0.001289,Colin_Powell
0.000556,115.085834,0.928376,804.31778,0.175234,291.71917,3102.185285,7.692034,11.250224,0.000314,4.330719,-0.333133,0.99384,3969,252,28.44535,150,-0.155313,0.194992,0.102873,1.637773,0.014578,0.013577,0.016018,0.017265,0.095939,0.048852,0.001766,0.041789,0.02472,0.001177,0.036492,0.068864,0.006474,0.003531,0.000589,0,0.028252,0.001177,0.048852,0.138317,0.044732,0.013537,0.001766,0.003531,0.001177,0,0.002354,0.002354,0.037081,0.004709,0.002354,0.004709,0.052972,0.00412,0.131842,0.07063,0.00824,0.002943,0,0,0.000589,0,0.001177,0.001177,0,0,0,0,0,0,0,0.002354,0.028252,0.001177,0.000589,0.001766,0.000589,0,0.000589,0.001766,0.019423,0.002354,0.002354,Colin_Powell
0.000397,301.671341,0.905963,1605.532172,0.116389,236.49396,6120.457349,8.117863,11.807065,0.000165,4.990158,-0.360166,0.997083,3969,252,40.189624,110,0.091952,0.339978,0.104322,1.754628,0.003509,0.000271,0.000125,0.00207,0.121729,0.040387,0.007395,0.021615,0.013652,0.003413,0.02446,0.05347,0.015358,0.006826,0.001706,0.007395,0.027304,0.002275,0.071672,0.108646,0.068828,0.013083,0.001138,0.001138,0.003982,0,0.003982,0.003413,0.030717,0.002844,0.002844,0.001706,0.051763,0.004551,0.121729,0.069966,0.013652,0.001706,0.001138,0.001138,0.000569,0,0.000569,0.000569,0.001138,0,0,0,0.001138,0,0.001706,0.002844,0.026166,0.002275,0,0.001706,0.001706,0,0.000569,0.001138,0.027304,0.000569,0.003413,Colin_Powell
0.000485,164.077587,0.905841,873.071568,0.149528,280.940881,3328.208686,7.74961,11.419307,0.000239,4.549907,-0.324069,0.993468,3969,252,29.85646,144,0.098954,0.212502,0.099739,1.720658,0.011767,0.013053,0.015789,0.014479,0.138057,0.051313,0.012217,0.032987,0.026878,0.005498,0.029322,0.065363,0.016494,0.00672,0.004276,0.001833,0.026878,0.003054,0.055589,0.142944,0.050703,0.013439,0.001833,0.003054,0.006109,0.001833,0.003665,0.003665,0.029322,0.001833,0.002443,0.001833,0.03482,0.003054,0.072083,0.089188,0.00733,0.001833,0.000611,0.000611,0.000611,0,0,0.001833,0,0,0,0,0.000611,0,0.000611,0.001222,0.020159,0.004887,0.000611,0.001222,0.003054,0,0.001222,0.002443,0.009774,0.001222,0.001833,Colin_Powell
0.000462,337.472473,0.938089,2731.696544,0.127164,236.196262,10589.313703,8.387191,11.944746,0.000174,5.051418,-0.397172,0.998563,3962.5,254.242641,52.870923,125,-0.233056,0.44872,0.098395,1.757264,0.004751,0.007789,0.000078,0,0.091813,0.064327,0.007018,0.029825,0.016959,0.003509,0.017544,0.050292,0.011111,0.00117,0.00117,0.003509,0.018713,0.002339,0.079532,0.123977,0.04386,0.021053,0.001754,0.003509,0.002339,0,0.002924,0.000585,0.020468,0.003509,0.001754,0.002339,0.051462,0.002339,0.161404,0.092982,0.008772,0.002924,0,0,0,0.000585,0.000585,0,0.000585,0,0,0.000585,0.002339,0,0.000585,0.000585,0.018129,0.006433,0,0.001754,0.001754,0,0.00117,0.00117,0.015205,0,0.001754,Colin_Powell
0.000494,118.341907,0.92971,842.564229,0.145365,265.88949,3251.915011,7.782363,11.401024,0.00028,4.404867,-0.331269,0.99427,3969,252,29.216956,134,-0.361705,0.220435,0.096978,1.739142,0.001079,0.007988,0.006708,0,0.086272,0.042761,0.010503,0.045011,0.017254,0,0.030008,0.087772,0.006752,0,0.0015,0.0015,0.03826,0.00075,0.054014,0.114029,0.026257,0.007502,0.0015,0.003751,0.002251,0,0.003001,0.0015,0.054014,0.003751,0.00075,0.003001,0.088522,0.002251,0.096024,0.059265,0.008252,0.00075,0.00075,0.0015,0.00075,0,0.00075,0.0015,0,0,0,0,0,0,0,0.00075,0.028507,0.00075,0,0.003001,0.002251,0,0.002251,0.0015,0.051763,0.002251,0.003001,Colin_Powell
0.000688,98.469184,0.937159,785.174328,0.187321,217.101319,3042.228129,7.615198,11.050962,0.000392,4.241169,-0.339985,0.994224,3969,252,28.216421,113,1.278815,0.259981,0.102006,1.675057,0.000136,0.001417,0,0.000109,0.117942,0.040778,0.004391,0.022585,0.035132,0.002509,0.023212,0.082183,0.018821,0.003137,0,0,0.03325,0.003764,0.048934,0.127353,0.055834,0.00941,0.002509,0.002509,0.002509,0,0.001882,0.003137,0.031368,0.002509,0.003764,0.001255,0.063363,0.002509,0.093476,0.074028,0.008156,0.000627,0,0.000627,0.002509,0,0,0.002509,0.001882,0,0,0,0.001255,0,0.000627,0.001882,0.02133,0.005019,0,0,0.003137,0,0.001882,0.003764,0.026976,0.001255,0.002509,Colin_Powell
0.000898,70.677763,0.89083,323.844434,0.190337,228.934336,1224.699974,7.120568,10.596354,0.000452,3.990269,-0.286084,0.98387,3969,252,17.993215,114,0.063828,0.157323,0.101759,1.617634,0.000307,0,0,0,0.120053,0.050792,0.010554,0.048813,0.023087,0.003298,0.01847,0.057388,0.007256,0.001319,0.00066,0.004617,0.016491,0.002639,0.048813,0.126649,0.040237,0.015172,0.00066,0.003958,0.002639,0.00066,0.001979,0.004617,0.03628,0.003958,0.002639,0.003298,0.069261,0.005277,0.108179,0.05277,0.007916,0.001979,0.00066,0,0,0,0.003298,0.00066,0,0,0,0,0.001319,0,0,0.00066,0.037599,0.004617,0.00066,0.002639,0.001319,0,0.002639,0.001319,0.03496,0.001979,0.003298,Colin_Powell
0.00041,368.047687,0.91888,2272.836047,0.130145,310.969593,8723.296501,8.111511,11.718143,0.000187,5.037622,-0.368443,0.997332,3969,252,48.018585,171,0.463583,0.309219,0.111131,1.640997,0.01515,0.015413,0.016299,0.015927,0.113197,0.046075,0.014221,0.026735,0.035267,0.003982,0.025028,0.049488,0.012514,0.003413,0.001138,0.001138,0.040956,0.002275,0.060296,0.119454,0.059158,0.010808,0.001706,0.003982,0.001138,0.000569,0.001138,0.005688,0.025028,0.006826,0.001706,0.003982,0.038111,0.001706,0.125142,0.086462,0.007964,0.001138,0.001138,0.001138,0.003413,0.000569,0,0.003982,0,0,0,0,0.000569,0,0.000569,0.001138,0.022753,0.001138,0,0.001706,0.003982,0,0.001706,0.001706,0.015927,0.001138,0,Colin_Powell
0.000587,96.320814,0.933214,722.000831,0.17527,195.51741,2791.682508,7.686835,11.213166,0.00039,4.247995,-0.335731,0.994201,3969,252,27.05279,98,-0.254001,0.275683,0.098827,1.445584,0.00011,0.000267,0.001016,0.000006,0.099105,0.041982,0.007571,0.033035,0.047488,0.003441,0.037853,0.079147,0.007571,0,0,0.002065,0.027529,0.000688,0.06607,0.110805,0.050929,0.014453,0.000688,0.004129,0.002065,0,0.001376,0.001376,0.022023,0.003441,0.002753,0.004818,0.05437,0.006194,0.118376,0.077082,0.005506,0.000688,0,0.002065,0.001376,0,0,0.000688,0,0,0,0,0,0,0.001376,0.000688,0.021335,0.003441,0.000688,0.000688,0.003441,0,0.000688,0.000688,0.026841,0.000688,0.000688,Colin_Powell
