haralick01,haralick02,haralick03,haralick04,haralick05,haralick06,haralick07,haralick08,haralick09,haralick10,haralick11,haralick12,haralick13,area,perimetro,'desvio padrao',mediana,curtose,variância,lacunaridade,'dimensao fractal','sucolaridade de cima para baixo','sucolaridade da direita para a esquerda','sucolaridade de baixo para cima','sucolaridade da esquerda para a direita','desvio padrão histograma','mediana histograma','curtose histograma','variancia histograma',classe
0.056656,0.131099,0.628756,0.123546,0.302314,0.509515,0.120784,0.493464,0.625812,0.241576,0.458057,0.668037,0.749834,1,0.844145,0.255116,0.487013,0.159782,0.183478,0.187628,0.919339,0.326151,0,0.000061,0.403652,0.148105,0.6,0.09358,0.148105,Alejandro_Toledo
0.058534,0.123014,0.635704,0.117973,0.306102,0.771747,0.11543,0.456176,0.605767,0.227214,0.447726,0.735874,0.669772,1,0.844145,0.243809,0.753247,0.162506,0.093696,0.147099,0.750414,0.916967,0.912852,0.894199,0.899393,0.223829,0.4,0.135852,0.223829,Alejandro_Toledo
0.02418,0.387392,0.758549,0.555277,0.213736,0.399027,0.549765,0.834806,0.862087,0.127616,0.706772,0.350049,0.959582,1,0.844145,0.699893,0.324675,0.030254,0.594396,0.211595,0.870226,0.233398,0.000209,0.01221,0.180345,0.205421,0.6,0.180626,0.205421,Alejandro_Toledo
0.038052,0.198013,0.479665,0.129621,0.216575,0.439398,0.124386,0.502305,0.705235,0.211006,0.554287,0.798223,0.635542,1,0.844145,0.261494,0.441558,0.119041,0.220042,0.171199,0.91126,0.059395,0,0,0,0.162906,0.6,0.116659,0.162906,Alejandro_Toledo
0.033589,0.279536,0.647659,0.283783,0.329621,0.472141,0.27795,0.702679,0.775934,0.189889,0.605486,0.468414,0.912082,1,0.844145,0.451264,0.461039,0.077793,0.345878,0.322915,0.895224,0.378447,0,0.380269,0,0.070746,0.6,0.085206,0.070746,Alejandro_Toledo
0.106885,0.131934,0.267369,0.047741,0.379832,0.330933,0.043699,0.269366,0.447434,0.326858,0.408071,0.877681,0.37621,1,0.844145,0.119834,0.344156,0.189213,0.155457,0.318727,0.755478,0.00598,0,0.000281,0.00017,0.122074,0.8,0.26292,0.122074,Alejandro_Toledo
0.02236,0.21065,0.683087,0.236521,0.204956,0.57013,0.232559,0.666326,0.794943,0.17955,0.575845,0.587799,0.850773,1,0.844145,0.396307,0.551948,0.069073,0.252076,0.204702,0.921913,0.319495,0.436874,0.01826,0.000631,0.247979,0.4,0.124947,0.247979,Alejandro_Toledo
0.057072,0.089615,0.69298,0.104134,0.338152,0.323628,0.102648,0.454336,0.593153,0.412544,0.386004,0.728029,0.671349,1,0.844145,0.217652,0.337662,0.065,0.247178,0.123706,0.777208,0.020906,0.027211,0,0,0.174084,0.5,0.071613,0.174084,Alejandro_Toledo
0.038946,0.300621,0.440051,0.188879,0.166,0.694142,0.180674,0.557076,0.739561,0.116757,0.659343,0.712179,0.743527,1,0.844145,0.340558,0.714286,0.164013,0.169827,0.156521,0.871833,0.785281,0.001896,0.734485,0.629944,0.134941,0.8,0.228238,0.134941,Alejandro_Toledo
0.055194,0.116444,0.840567,0.255175,0.368029,0.407005,0.255142,0.59037,0.638995,0.329872,0.420209,0.486638,0.880115,1,0.844145,0.424681,0.467532,0.086912,0.368157,0.198511,0.86601,0.299044,0.219262,0.003415,0,0.218418,0.6,0.208979,0.218418,Alejandro_Toledo
