haralick01,haralick02,haralick03,haralick04,haralick05,haralick06,haralick07,haralick08,haralick09,haralick10,haralick11,haralick12,haralick13,area,perimetro,'desvio padrao',mediana,curtose,variância,lacunaridade,'dimensao fractal','sucolaridade de cima para baixo','sucolaridade da direita para a esquerda','sucolaridade de baixo para cima','sucolaridade da esquerda para a direita','desvio padrão histograma','mediana histograma','curtose histograma','variancia histograma',classe
0.082302,0.170454,0.627946,0.146352,0.362052,0.565619,0.146406,0.437881,0.518435,0.263656,0.398101,0.572509,0.791797,1,0.914513,0.274104,0.554054,0.246929,0.190186,0.320712,0.929949,0.677557,0.655421,0.571721,0,0.159667,0.5,0.058193,0.159667,Alejandro_Toledo
0.062352,0.158665,0.569906,0.111517,0.336565,0.700748,0.111234,0.410239,0.5878,0.272541,0.45157,0.757155,0.620996,1,0.914513,0.211806,0.689189,0.052712,0.096324,0.149675,0.881193,0.765542,0.876087,0.82954,0.709372,0.100683,0.75,0.174039,0.100683,Alejandro_Toledo
0.071588,0.08879,0.676917,0.08969,0.359786,0.290796,0.091302,0.383688,0.529399,0.507252,0.32664,0.728087,0.629788,1,0.914513,0.179641,0.310811,0.062854,0.261718,0.09521,0.789083,0.021252,0.027211,0,0,0.220959,0.375,0.071613,0.220959,Alejandro_Toledo
0.069233,0.12086,0.832225,0.247262,0.392025,0.378221,0.251114,0.537335,0.582425,0.397914,0.370958,0.486677,0.866831,1,0.914513,0.400619,0.445946,0.085582,0.407204,0.172448,0.879241,0.303993,0.219262,0.003415,0,0.286371,0.5,0.208979,0.286371,Alejandro_Toledo
0.008868,0.580511,0.475198,0.364011,0.085107,0.620116,0.354829,0.746102,0.903171,0.053809,0.869145,0.545875,0.886852,1,0.914513,0.523436,0.635135,0.124978,0.340761,0.118564,0.942114,0.608873,0.002327,0.64598,0.493849,0.180802,0.5,0.087826,0.180802,Alejandro_Toledo
0.047909,0.318809,0.719661,0.369959,0.299815,0.233579,0.369724,0.687948,0.730365,0.168421,0.603714,0.403658,0.927232,1,0.914513,0.525295,0.168919,0.062053,0.679828,0.346251,0.836653,0.056988,0,0.01121,0.041821,0.172463,0.5,0.119204,0.172463,Alejandro_Toledo
0.191996,0.078051,0.510624,0.035755,0.528447,0.511128,0.036593,0.133082,0.202614,0.436296,0.203886,0.72255,0.50197,1,0.914513,0.082005,0.513514,0.404185,0.065323,0.328516,0.958303,0.496323,0.011303,0.39054,0.31462,0.192401,0.25,0.061494,0.192401,Alejandro_Toledo
0.007098,0.569556,0.696128,0.607964,0.144817,0.746892,0.604293,0.88683,0.930428,0.058555,0.818421,0.330685,0.968926,1,0.914513,0.726024,0.75,0.048908,0.402136,0.290817,0.864234,0.697683,0.81791,0.774578,0.643572,0.449151,0.25,0.459678,0.449151,Alejandro_Toledo
0.034498,0.352365,0.793445,0.535792,0.348466,0.303387,0.537921,0.800823,0.799253,0.186252,0.637427,0.304424,0.965586,1,0.914513,0.669884,0.310811,0.020018,0.738531,0.357406,0.854987,0.310847,0.000185,0.000464,0.197951,0.134549,0.5,0.111714,0.134549,Alejandro_Toledo
0.042133,0.315815,0.629225,0.277108,0.350581,0.446518,0.275017,0.664185,0.740822,0.212778,0.611007,0.468451,0.903128,1,0.914513,0.428993,0.439189,0.076123,0.380412,0.300896,0.908901,0.38471,0,0.380269,0,0.06849,0.5,0.085206,0.06849,Alejandro_Toledo
0.117467,0.125852,0.605892,0.098015,0.404351,0.456304,0.098554,0.320032,0.434332,0.357822,0.35493,0.693736,0.64801,0.999748,0.91752,0.200175,0.472973,0.360631,0.183166,0.335426,0.946251,0.010132,0.051343,0.15847,0,0.19262,0.5,0.198261,0.19262,Alejandro_Toledo
0.072851,0.183962,0.643801,0.16622,0.375023,0.451697,0.166237,0.499228,0.607937,0.340011,0.483369,0.598019,0.789117,1,0.914513,0.293598,0.445946,0.102629,0.260298,0.176002,0.887063,0.315188,0.443793,0.45443,0.312395,0.246548,0.5,0.163177,0.246548,Alejandro_Toledo
0.119111,0.112153,0.649563,0.101796,0.386081,0.355918,0.102876,0.328736,0.406567,0.371518,0.315198,0.627837,0.712063,1,0.914513,0.205556,0.385135,0.231335,0.244354,0.202605,0.877627,0.00025,0,0.001647,0.000037,0.206534,0.25,0.094234,0.206534,Alejandro_Toledo
0.070227,0.163345,0.7431,0.212849,0.357137,0.508533,0.214544,0.473385,0.568705,0.356652,0.446313,0.581048,0.797808,1,0.914513,0.360624,0.554054,0.21117,0.285412,0.199379,0.896368,0.529395,0.369795,0.551888,0,0.119148,0.5,0.08132,0.119148,Alejandro_Toledo
0.027299,0.338929,0.762993,0.458736,0.161696,0.404544,0.459694,0.779966,0.830118,0.09129,0.708439,0.381083,0.945953,1,0.914513,0.610266,0.310811,0.091713,0.570099,0.104018,0.860431,0.193431,0.000357,0.001183,0.299066,0.258237,0.25,0.104096,0.258237,Alejandro_Toledo
0.374863,0.139948,0.817552,0.258044,0.861945,0.469941,0.26148,0.487037,0.311804,0.702109,0.268222,0.152709,0.960537,1,0.914513,0.400805,0.486486,0.059672,0.337382,0.723464,0.824138,0.44041,0.000209,0.506087,0.289882,0.887559,0.25,1,0.887559,Alejandro_Toledo
0.030331,0.444743,0.745916,0.560343,0.225537,0.369855,0.559874,0.813419,0.840475,0.130417,0.742237,0.350077,0.957062,1,0.914513,0.694372,0.297297,0.026816,0.679272,0.185957,0.883522,0.23726,0.000209,0.01221,0.18176,0.267196,0.5,0.180626,0.267196,Alejandro_Toledo
0.089802,0.176876,0.427579,0.083612,0.316193,0.510698,0.082127,0.32561,0.511479,0.233228,0.471575,0.797098,0.527833,1,0.914513,0.175587,0.52027,0.222925,0.139549,0.190678,0.931834,0.016511,0,0.307938,0.000611,0.085488,0.5,0.068749,0.085488,Alejandro_Toledo
0.143901,0.119449,0.361164,0.037388,0.456196,0.585136,0.036865,0.173989,0.311778,0.457839,0.293361,0.818347,0.389221,1,0.914513,0.083343,0.587838,0.214907,0.043219,0.256371,0.921142,0.760738,0.710975,0.723751,0.776957,0.160952,0.5,0.092858,0.160952,Alejandro_Toledo
0.134072,0.139377,0.229038,0.030858,0.404761,0.298456,0.029525,0.17477,0.360846,0.393928,0.355231,0.877751,0.294672,1,0.914513,0.075233,0.317568,0.191689,0.151417,0.296572,0.767021,0.006079,0,0.000281,0.000171,0.144222,0.75,0.26292,0.144222,Alejandro_Toledo
0.184337,0.248732,0.86942,0.563739,0.576399,0.308763,0.56995,0.521984,0.450184,0.282037,0.40296,0.292054,0.935872,1,0.914513,0.705298,0.27027,0.286099,0.756182,0.520783,0.668247,0.001088,0.023061,0.094287,0.000526,0.171611,0.5,0.196255,0.171611,Alvaro_Uribe
0.054993,0.218917,0.825054,0.397141,0.408408,0.614014,0.400846,0.71198,0.691901,0.298456,0.482258,0.311843,0.953467,1,0.914513,0.546844,0.655405,0.071898,0.358329,0.365221,0.864234,0.755497,0.590128,0.607631,0.760302,0.253843,0.25,0.046878,0.253843,Alvaro_Uribe
1,0.09477,0.89654,0.304843,0.787356,0.699935,0.310788,0.318791,0.238653,0.411712,0.247808,0.338875,0.886582,1,0.914513,0.457866,0.635135,0.087969,0.255406,0.392337,0.842791,0.791284,0.747174,0.666057,0.700677,0.149349,0.5,0.143404,0.149349,Alvaro_Uribe
0.0527,0.356767,0.44096,0.2,0.237384,0.509964,0.194904,0.500621,0.668193,0.181351,0.665775,0.675724,0.74445,1,0.914513,0.339296,0.540541,0.226899,0.265937,0.23321,0.97516,0.521339,0.571696,0.538861,0.491991,0.114481,0.75,0.209891,0.114481,Alvaro_Uribe
0.057673,0.148402,0.676743,0.150076,0.376702,0.372173,0.150952,0.517062,0.613501,0.335189,0.398713,0.566756,0.819435,1,0.914513,0.273841,0.371622,0.090919,0.294092,0.243172,0.852484,0.017512,0.085818,0.001232,0,0.143177,0.5,0.082386,0.143177,Alvaro_Uribe
0.111378,0.162913,0.496504,0.091871,0.430746,0.492413,0.091031,0.376963,0.48786,0.328037,0.40161,0.655208,0.710704,1,0.914513,0.183582,0.5,0.109851,0.152037,0.337996,0.933229,0.020301,0.08913,0.213164,0.094634,0.236746,0.5,0.27005,0.236746,Alvaro_Uribe
0.101846,0.092244,0.873288,0.255095,0.542303,0.394559,0.260076,0.598814,0.540089,0.317724,0.28034,0.297375,0.941533,1,0.914513,0.405226,0.344595,0.142548,0.392393,0.354297,0.767616,0.252933,0.001133,0.293618,0.118284,0.354099,0.25,0.112046,0.354099,Alvaro_Uribe
