haralick01,haralick02,haralick03,haralick04,haralick05,haralick06,haralick07,haralick08,haralick09,haralick10,haralick11,haralick12,haralick13,area,perimetro,'desvio padrao',mediana,curtose,variância,lacunaridade,'dimensao fractal','sucolaridade de cima para baixo','sucolaridade da direita para a esquerda','sucolaridade de baixo para cima','sucolaridade da esquerda para a direita','desvio padrão histograma','mediana histograma','curtose histograma','variancia histograma',classe
0.092497,0.312639,0.676367,0.233568,0.311047,0.497102,0.23128,0.650221,0.756563,0.17808,0.631642,0.544052,0.845992,1,0.957033,0.393886,0.489933,0.104893,0.398624,0.172614,0.892955,0.280481,0.286214,0,0.000218,0.305258,0.571429,0.141027,0.305258,Ariel_Sharon
0.302213,0.073829,0.566741,0.040402,0.490129,0.607156,0.039511,0.268279,0.399675,0.375472,0.295881,0.848448,0.382761,1,0.957033,0.101175,0.577181,0.132898,0.045151,0.154738,0.870598,0.569966,0.546957,0.589979,0.00051,0.192022,0.571429,0.13072,0.192022,Ariel_Sharon
0.038113,0.472941,0.588555,0.287958,0.139153,0.540951,0.282944,0.755285,0.871328,0.078034,0.753579,0.490357,0.894649,1,0.957033,0.452631,0.510067,0.084228,0.425207,0.116588,0.879617,0.261117,0.214741,0.430193,0.492963,0.320671,0.571429,0.113155,0.320671,Ariel_Sharon
0.043699,0.5408,0.526703,0.292592,0.088056,0.517918,0.285987,0.732239,0.87262,0.070178,0.818128,0.551625,0.864952,1,0.957033,0.459933,0.530201,0.108299,0.452877,0.136741,0.928939,0.430034,0.002857,0.446854,0.318964,0.262846,0.571429,0.231987,0.262846,Ariel_Sharon
0.081638,0.384605,0.525706,0.206671,0.20378,0.512218,0.20194,0.624448,0.767298,0.127428,0.676172,0.63278,0.794148,1,0.957033,0.36803,0.503356,0.176459,0.361557,0.134411,0.927664,0.325238,0.000062,0.001223,0.406224,0.302266,0.285714,0.136166,0.302266,Ariel_Sharon
0.151466,0.161438,0.731234,0.146142,0.332302,0.341224,0.145568,0.522565,0.642577,0.308172,0.484745,0.656671,0.7377,0.998236,0.966472,0.283982,0.348993,0.160686,0.404274,0.096227,0.695037,0.038854,0,0,0,0.338856,0.285714,0.133181,0.338856,Ariel_Sharon
0.070682,0.286166,0.926507,0.504024,0.300041,0.533537,0.508827,0.789663,0.801212,0.116101,0.61704,0.290711,0.95121,1,0.957033,0.658005,0.52349,0.014451,0.638975,0.200983,0.668099,0.492472,0.284773,0.500373,0,0.402814,0.428571,0.189665,0.402814,Ariel_Sharon
0.079143,0.374811,0.749636,0.337716,0.253623,0.222812,0.336344,0.721248,0.794222,0.147327,0.672057,0.422162,0.908148,1,0.957033,0.502956,0.161074,0.10422,0.866099,0.31929,0.647417,0.098316,0,0.00044,0.072495,0.374318,0.285714,0.177186,0.374318,Ariel_Sharon
0.295914,0.375141,0.432273,0.168525,0.509783,0.755218,0.163125,0.55236,0.640071,0.184161,0.627791,0.562641,0.806224,1,0.957033,0.306784,0.738255,0.137333,0.168956,0.417847,0.783092,0.732479,0.777549,0.814293,0.739359,0.356993,0.571429,0.264744,0.356993,Ariel_Sharon
0.183049,0.251854,0.384205,0.100141,0.37709,0.739882,0.096207,0.392701,0.565796,0.231006,0.536477,0.839936,0.515523,1,0.957033,0.21312,0.711409,0.325699,0.098519,0.216127,0.744649,0.783275,0.895493,0.899727,0.765603,0.202497,0.571429,0.290964,0.202497,Ariel_Sharon
0.165878,0.251635,0.476494,0.119777,0.375242,0.499171,0.116315,0.472475,0.623071,0.274025,0.547208,0.738382,0.65716,1,0.957033,0.24043,0.47651,0.172808,0.233628,0.234231,0.88535,0.208575,0.181436,0.004208,0.000097,0.161883,0.857143,0.19444,0.161883,Ariel_Sharon
0.067234,0.250921,0.73455,0.221686,0.264722,0.593389,0.220663,0.678656,0.783698,0.174692,0.58233,0.540876,0.849569,1,0.957033,0.381096,0.557047,0.053657,0.316927,0.123682,0.822748,0.402996,0.560284,0.000135,0.401735,0.372491,0.285714,0.274114,0.372491,Ariel_Sharon
0.05372,0.308438,0.802536,0.330869,0.211446,0.493772,0.330998,0.790636,0.841941,0.106268,0.65001,0.357765,0.936618,1,0.957033,0.503739,0.436242,0.077069,0.513877,0.090808,0.774574,0.285617,0.270695,0.465277,0.473659,0.40755,0.285714,0.154502,0.40755,Ariel_Sharon
0.087042,0.200296,0.876015,0.295664,0.319596,0.574951,0.297668,0.68672,0.743063,0.205592,0.537455,0.430357,0.896177,1,0.957033,0.46721,0.530201,0.129141,0.414729,0.115011,0.832982,0.429418,0.351665,0.540289,0,0.702874,0.285714,0.338779,0.702874,Ariel_Sharon
0.156551,0.174812,0.845363,0.232605,0.472834,0.39388,0.233749,0.572947,0.627711,0.30943,0.469437,0.475869,0.85414,1,0.957033,0.395435,0.395973,0.183758,0.49211,0.149988,0.736992,0.06387,0.124164,0,0.001553,0.333895,0.285714,0.10458,0.333895,Ariel_Sharon
0.211577,0.155823,0.731745,0.141645,0.491314,0.489882,0.141104,0.483896,0.546923,0.294608,0.427813,0.533132,0.800368,1,0.957033,0.276997,0.463087,0.148811,0.276919,0.241672,0.811218,0.114265,0.012994,0.050057,0.0004,0.24722,0.571429,0.153204,0.24722,Ariel_Sharon
0.26612,0.207696,0.709995,0.17375,0.485003,0.815445,0.172671,0.310258,0.447211,0.277877,0.449301,0.822692,0.464232,1,0.957033,0.331048,0.785235,0.887409,0.166812,0.381416,0.497719,0.956248,0.977559,0.961051,0.912849,0.179561,0.571429,0.141716,0.179561,Ariel_Sharon
0.313269,0.451197,0.745407,0.398568,0.386466,0.259086,0.396728,0.714206,0.753146,0.175014,0.736665,0.37322,0.920715,1,0.957033,0.563858,0.295302,0.033796,0.900032,0.177559,0.753047,0.002449,0.118461,0,0,0.263761,0.571429,0.12919,0.263761,Ariel_Sharon
0.072404,0.389268,0.660345,0.278479,0.254393,0.626923,0.275338,0.652878,0.787961,0.118394,0.702469,0.591077,0.825213,1,0.957033,0.447478,0.61745,0.186489,0.360242,0.132278,0.898527,0.507541,0.47488,0.011903,0.000716,0.154743,0.571429,0.105414,0.154743,Ariel_Sharon
0.126255,0.276964,0.78783,0.285617,0.333825,0.713599,0.28546,0.579531,0.680969,0.187428,0.578672,0.559498,0.819934,1,0.957033,0.454861,0.711409,0.207143,0.315207,0.228577,0.773647,0.797478,0.887019,0.820055,0.708202,0.237419,0.571429,0.290557,0.237419,Ariel_Sharon
0.122281,0.389953,0.439167,0.177784,0.263936,0.753153,0.172233,0.554702,0.695421,0.148243,0.660146,0.671471,0.743711,1,0.957033,0.32049,0.744966,0.136121,0.182441,0.296547,0.785336,0.811669,0.890222,0.795234,0.702414,0.137931,0.571429,0.081978,0.137931,Ariel_Sharon
0.122077,0.18129,0.793398,0.198402,0.328136,0.596506,0.198571,0.551857,0.658219,0.245799,0.497919,0.600888,0.787613,1,0.957033,0.352783,0.583893,0.201622,0.289817,0.127208,0.858113,0.549773,0.669668,0.60872,0.469461,0.375548,0.571429,0.309486,0.375548,Ariel_Sharon
0.023724,0.499568,0.656411,0.352484,0.110469,0.49525,0.348336,0.811632,0.919227,0.082653,0.802863,0.472577,0.909066,1,0.957033,0.520507,0.496644,0.053909,0.533672,0.124203,0.90687,0.289774,0.441231,0.005541,0.359015,0.341382,0.571429,0.164277,0.341382,Ariel_Sharon
0.105733,0.210278,0.869271,0.299529,0.361506,0.617186,0.301375,0.649222,0.703976,0.215223,0.531987,0.448098,0.882579,1,0.957033,0.468899,0.61745,0.177803,0.386421,0.127808,0.840701,0.536814,0.000283,0.534723,0.321148,0.331452,0.571429,0.278686,0.331452,Ariel_Sharon
0.18702,0.119345,0.827488,0.157927,0.485313,0.405841,0.158687,0.573533,0.609948,0.266372,0.391312,0.457976,0.858492,1,0.957033,0.297185,0.375839,0.115161,0.361126,0.239112,0.716797,0.002562,0.000246,0.014912,0,0.548213,0,0.141192,0.548213,Ariel_Sharon
0.081188,0.50778,0.821365,0.560138,0.312469,0.414476,0.560718,0.803688,0.816437,0.138264,0.733971,0.270849,0.957662,1,0.957033,0.702908,0.402685,0.004234,0.831427,0.316834,0.713055,0.338599,0,0.450695,0.202948,0.360068,0.571429,0.366448,0.360068,Ariel_Sharon
0.057507,0.443388,0.738353,0.385096,0.209898,0.499856,0.383131,0.766491,0.830437,0.096684,0.73004,0.387705,0.927883,1,0.957033,0.5571,0.510067,0.113488,0.571281,0.176275,0.907796,0.254084,0.395081,0.000526,0.387964,0.186472,0.571429,0.143206,0.186472,Ariel_Sharon
0.093858,0.240493,0.881747,0.353896,0.299148,0.501108,0.356276,0.724228,0.761672,0.170995,0.567733,0.369534,0.922001,1,0.957033,0.521285,0.409396,0.057834,0.526131,0.229399,0.660823,0.292235,0,0.315779,0.122968,0.305159,0.285714,0.160864,0.305159,Ariel_Sharon
0.520928,0.367079,0.826812,0.423262,0.759987,0.547173,0.424117,0.423982,0.372153,0.271356,0.425415,0.308949,0.879967,1,0.957033,0.59431,0.503356,0.241066,0.557002,1,0.838208,0.145484,0.141259,0.078535,0.016161,0.127778,0.571429,0.060527,0.127778,Ariel_Sharon
0.048351,0.263675,0.861935,0.354472,0.250749,0.371316,0.356285,0.774878,0.842002,0.184771,0.61337,0.408363,0.920132,1,0.957033,0.522821,0.315436,0.024288,0.670223,0.088553,0.713263,0.136668,0.178702,0.006043,0,0.431301,0.285714,0.199583,0.431301,Ariel_Sharon
0.090714,0.285333,0.501887,0.144196,0.204938,0.586451,0.140469,0.546254,0.738023,0.131181,0.633963,0.785465,0.649376,1,0.957033,0.279801,0.57047,0.076534,0.224308,0.065701,0.906173,0.413394,0.27689,0.51049,0.000388,0.216704,0.571429,0.203326,0.216704,Ariel_Sharon
0.073853,0.401312,0.770671,0.383926,0.230974,0.665388,0.382988,0.681689,0.798195,0.103039,0.718664,0.543481,0.854978,1,0.957033,0.558896,0.657718,0.216699,0.437646,0.146876,0.860873,0.714835,0,0.7029,0.588971,0.239617,0.857143,0.20049,0.239617,Ariel_Sharon
0.117756,0.355742,0.792174,0.365046,0.367727,0.671324,0.364802,0.655049,0.717099,0.159659,0.641304,0.442974,0.888177,1,0.957033,0.534593,0.691275,0.242536,0.411018,0.260213,0.80373,0.71496,0.550788,0.706619,0.001929,0.250659,0.571429,0.139457,0.250659,Ariel_Sharon
0.049744,0.430287,0.719208,0.355444,0.219766,0.470133,0.353103,0.797558,0.853463,0.105333,0.716404,0.362028,0.937445,1,0.957033,0.526406,0.456376,0.094638,0.56782,0.175324,0.848182,0.278409,0.360274,0.000135,0,0.405152,0.285714,0.111576,0.405152,Ariel_Sharon
0.218206,0.145868,0.486459,0.067459,0.445886,0.598787,0.065405,0.359796,0.521727,0.305378,0.440232,0.849623,0.468161,1,0.957033,0.154701,0.57047,0.153938,0.098436,0.126956,0.926695,0.43792,0.394058,0.572816,0.607474,0.235599,0.571429,0.172365,0.235599,Ariel_Sharon
0.178521,0.084228,0.892083,0.161873,0.601882,0.340039,0.163608,0.54922,0.573358,0.416646,0.317389,0.444584,0.857856,1,0.957033,0.303354,0.308725,0.027923,0.430736,0.144731,0.679889,0.157941,0.100664,0,0,0.273102,0.571429,0.103472,0.273102,Ariel_Sharon
0.058527,0.296305,0.769502,0.287595,0.19417,0.36522,0.287001,0.73285,0.818093,0.158878,0.629184,0.45609,0.898765,1,0.957033,0.457886,0.322148,0.084709,0.596924,0.127816,0.746499,0.0055,0,0.025775,0.09414,0.33345,0.285714,0.134199,0.33345,Ariel_Sharon
0.061354,0.387663,0.627813,0.257464,0.206197,0.561799,0.253863,0.654311,0.807326,0.126625,0.711417,0.624352,0.811243,1,0.957033,0.425592,0.550336,0.201253,0.383212,0.131143,0.911235,0.3551,0.382493,0.001798,0.45711,0.258616,0.571429,0.147122,0.258616,Ariel_Sharon
0.064548,0.354566,0.53014,0.191227,0.229012,0.549072,0.186882,0.632048,0.795198,0.153697,0.666732,0.672661,0.772178,1,0.957033,0.340793,0.503356,0.06238,0.306545,0.158635,0.908162,0.307719,0,0.007254,0.255448,0.314502,0.285714,0.097557,0.314502,Ariel_Sharon
0.048948,0.303726,0.698567,0.240456,0.166661,0.412131,0.238555,0.703246,0.832349,0.148428,0.66413,0.570691,0.847097,1,0.957033,0.401263,0.402685,0.059944,0.480248,0.054089,0.780636,0.161947,0,0.000159,0.150728,0.456947,0.285714,0.126347,0.456947,Ariel_Sharon
0.149334,0.293181,0.316346,0.105371,0.338978,0.643307,0.100525,0.458661,0.631716,0.201679,0.566129,0.783788,0.610991,1,0.957033,0.222474,0.590604,0.147172,0.143174,0.242385,0.936205,0.473283,0.574386,0.007878,0.572616,0.187574,0.571429,0.139579,0.187574,Ariel_Sharon
0.167937,0.366603,0.822467,0.414995,0.365796,0.681856,0.415666,0.596425,0.650067,0.170714,0.596878,0.466301,0.865862,1,0.957033,0.585898,0.704698,0.287104,0.449521,0.273286,0.768393,0.728787,0.74927,0.871873,0.835428,0.197232,0.571429,0.09743,0.197232,Ariel_Sharon
0.08864,0.482991,0.356446,0.195473,0.221311,0.498865,0.188009,0.579603,0.750429,0.118737,0.713223,0.694219,0.742929,1,0.957033,0.351682,0.483221,0.202441,0.353189,0.272762,0.915531,0.015974,0,0.002752,0.15563,0.168775,0.857143,0.244331,0.168775,Ariel_Sharon
0.044055,0.513671,0.743937,0.449726,0.229006,0.347937,0.447534,0.820798,0.883006,0.097667,0.760366,0.363466,0.940544,1,0.957033,0.6081,0.268456,0.036963,0.805926,0.303365,0.756098,0.151197,0,0.001884,0.168479,0.388733,0.285714,0.20788,0.388733,Ariel_Sharon
0.030753,0.414523,0.710261,0.334741,0.15759,0.438561,0.332303,0.793713,0.89681,0.096644,0.75515,0.470661,0.90554,1,0.957033,0.503557,0.442953,0.05299,0.570141,0.060463,0.835676,0.274127,0.00016,0.398522,0.240269,0.41999,0.285714,0.193351,0.41999,Ariel_Sharon
0.269283,0.0966,0.589743,0.057848,0.455672,0.643747,0.056801,0.319241,0.44902,0.348576,0.345263,0.81092,0.474997,1,0.957033,0.134922,0.61745,0.151913,0.063589,0.137379,0.832982,0.751868,0.718897,0.674178,0.691252,0.173246,0.285714,0.052134,0.173246,Ariel_Sharon
0.040628,0.421294,0.557187,0.240902,0.102445,0.600726,0.236065,0.698067,0.861845,0.078856,0.754672,0.625859,0.82095,1,0.957033,0.401638,0.577181,0.104405,0.332928,0.082924,0.914923,0.467695,0.546033,0.001541,0.526062,0.297203,0.285714,0.094962,0.297203,Ariel_Sharon
0.112449,0.322959,0.674635,0.240567,0.268681,0.618501,0.238187,0.549364,0.697144,0.18006,0.622963,0.675899,0.738504,1,0.957033,0.407422,0.61745,0.263956,0.32941,0.170805,0.9385,0.604363,0,0.699072,0.618964,0.279283,0.571429,0.200811,0.279283,Ariel_Sharon
0.225066,0.26599,0.876483,0.379702,0.462557,0.868449,0.382056,0.512965,0.550277,0.238873,0.518001,0.476011,0.831627,1,0.957033,0.558065,0.889262,0.433358,0.318706,0.479163,0.534407,0.89273,0.856671,0.941943,0.966913,0.541041,0.285714,0.592928,0.541041,Ariel_Sharon
0.03131,0.575261,0.46541,0.280127,0.098466,0.852646,0.272362,0.689244,0.886542,0.045407,0.835935,0.702997,0.774759,1,0.957033,0.447891,0.818792,0.183788,0.241577,0.080844,0.789056,0.82606,0.825695,0.879213,0.856212,0.154829,0.571429,0.145155,0.154829,Ariel_Sharon
0.017014,0.545967,0.661556,0.389582,0.102016,0.463298,0.385152,0.847113,0.940511,0.04421,0.825068,0.398421,0.937243,1,0.957033,0.558441,0.436242,0.067235,0.609153,0.157921,0.88279,0.259974,0.198076,0.00011,0.018102,0.299505,0.428571,0.073319,0.299505,Colin_Powell
0.154776,0.184274,0.64776,0.129791,0.434351,0.704243,0.128256,0.495358,0.617898,0.258813,0.47879,0.675427,0.700333,1,0.957033,0.256005,0.684564,0.085871,0.147952,0.218637,0.801045,0.747674,0.68297,0.800286,0.855533,0.303077,0.285714,0.128531,0.303077,Colin_Powell
0.197619,0.159401,0.455869,0.069095,0.380757,0.677699,0.066741,0.3633,0.540739,0.257223,0.445114,0.869146,0.439506,1,0.957033,0.157149,0.61745,0.090163,0.07236,0.141041,0.915959,0.767352,0.710362,0.722265,0.764717,0.092236,0.285714,0,0.092236,Colin_Powell
0.087671,0.288292,0.51259,0.14886,0.226351,0.559945,0.14517,0.565909,0.746842,0.151982,0.627033,0.742538,0.695696,1,0.957033,0.283642,0.52349,0.076412,0.24244,0.158355,0.916925,0.29859,0.023057,0.405532,0.210859,0.263478,0.571429,0.130363,0.263478,Colin_Powell
0.113438,0.419661,0.516817,0.221322,0.247552,0.807022,0.21606,0.601273,0.719331,0.133754,0.699699,0.60947,0.793447,1,0.957033,0.377313,0.791946,0.148007,0.205609,0.322712,0.797197,0.825256,0.766895,0.823333,0.874011,0.301824,0.571429,0.14287,0.301824,Colin_Powell
0.030302,0.51811,0.503075,0.268458,0.087429,0.483468,0.261848,0.715258,0.894297,0.093764,0.803776,0.666541,0.793393,1,0.957033,0.430422,0.47651,0.060579,0.448334,0.147579,0.942965,0.181098,0.337242,0,0.275067,0.656523,0.285714,0.454299,0.656523,Colin_Powell
0.181238,0.351108,0.437415,0.159362,0.339979,0.660312,0.154346,0.501042,0.609221,0.199456,0.586374,0.61875,0.756042,1,0.957033,0.303786,0.651007,0.268361,0.210689,0.242786,0.863221,0.633221,0.000099,0.589857,0.409197,0.140673,0.571429,0.127716,0.140673,Colin_Powell
0.121635,0.291639,0.550054,0.162844,0.263828,0.832271,0.159402,0.548567,0.693764,0.137083,0.613933,0.686088,0.731186,1,0.957033,0.30428,0.812081,0.099436,0.139489,0.25023,0.709704,0.853663,0.804326,0.902137,0.940609,0.139513,0.285714,0.027858,0.139513,Colin_Powell
0.085706,0.795904,0.382599,0.343605,0.331621,0.657049,0.331817,0.723198,0.807314,0.107531,0.83617,0.43692,0.904866,1,0.957033,0.506721,0.637584,0.141228,0.394763,0.383152,0.891553,0.024249,0.639504,0.000049,0.657401,0.390472,0.285714,0.15821,0.390472,Colin_Powell
